City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
479,tashtyp,52.7939,89.8983,2.06,67,100,6.9,RU,1681099279
480,hot springs,34.5037,-93.0552,15.1,80,0,2.06,US,1681099117
481,rudbar,30.15,62.6,28.38,19,0,2.9,AF,1681099280
482,tirumullaivasal,11.2333,79.8333,30.62,59,7,4.28,IN,1681099281
483,puerto del rosario,28.5004,-13.8627,20.86,64,25,5.66,ES,1681099281
484,beyneu,45.3167,55.2,14.36,51,100,2.43,KZ,1681099281
485,rawson,-43.3002,-65.1023,11.02,40,100,6.09,AR,1681099282
486,hirara,24.8,125.2833,23.15,60,40,6.17,JP,1681099282
487,caconda,-13.7333,15.0667,14.78,86,88,0.85,AO,1681099283
488,inirida,3.8653,-67.9239,22.88,97,100,0.38,CO,1681099283
489,alice springs,-23.7,133.8833,30.75,14,11,5.66,AU,1681099284
490,manono,-7.3,27.4167,20.0,97,60,1.09,CD,1681099284
491,sorong,-0.8833,131.25,29.08,69,98,1.92,ID,1681099285
492,bengkulu,-3.8004,102.2655,26.49,81,83,1.68,ID,1681099285
493,sampit,-2.5333,112.95,32.98,48,66,2.5,ID,1681099285
494,nuuk,64.1835,-51.7216,-2.66,86,24,5.14,GL,1681099239
495,san carlos de bariloche,-41.1456,-71.3082,11.86,94,100,1.61,AR,1681099286
496,teguldet,57.3064,88.1667,-2.69,90,100,5.43,RU,1681099287
497,kitui,-1.367,38.0106,18.0,85,38,0.35,KE,1681099287
498,conceicao do araguaia,-8.2578,-49.2647,22.35,97,88,0.52,BR,1681099259
499,auch,43.65,0.5833,11.36,65,100,1.34,FR,1681099288
500,porto santo,33.072,-16.3415,17.21,82,40,5.14,PT,1681099289
501,tekirdag,40.978,27.5085,8.64,89,100,6.86,TR,1681099289
502,zaozerne,45.1582,33.2787,7.68,83,100,4.72,UA,1681099290
503,nchelenge,-9.3451,28.734,19.15,93,95,2.63,ZM,1681099290
504,killybegs,54.6333,-8.45,7.51,82,84,9.49,IE,1681099291
505,kouqian,43.6391,126.4578,19.79,33,96,9.87,CN,1681099291
506,aksha,50.2814,113.2867,-0.49,49,100,10.85,RU,1681099292
507,vilhena,-12.7406,-60.1458,20.08,98,86,1.22,BR,1681099026
508,grand-lahou,5.1367,-5.0242,26.74,82,100,2.32,CI,1681099292
509,rybinsk,58.0446,38.8426,4.18,79,73,2.37,RU,1681099293
510,qianguo,45.1171,124.8568,19.65,29,62,11.84,CN,1681099293
511,asmar,35.0333,71.3581,21.41,34,1,2.04,AF,1681099294
512,haimen,23.1935,116.6142,22.94,58,63,2.57,CN,1681099295
513,okhotsk,59.3833,143.3,-2.91,71,3,10.54,RU,1681099295
514,awjilah,29.1081,21.2869,13.93,78,5,6.26,LY,1681099295
515,ambon,-3.6954,128.1814,34.08,52,20,4.12,ID,1681099296
516,chake chake,-5.2459,39.7666,26.45,83,81,1.6,TZ,1681099296
517,margate,51.3813,1.3862,11.6,74,100,2.68,GB,1681099173
518,coahuayana,18.7333,-103.6833,23.48,67,99,1.18,MX,1681099297
519,ewo,-0.8725,14.8206,22.71,90,97,2.21,CG,1681099297
520,sept-iles,50.2001,-66.3821,6.0,62,20,5.14,CA,1681099298
521,macas,-2.3167,-78.1167,19.17,99,89,0.6,EC,1681099298
522,valdivia,-39.8142,-73.2459,13.05,84,100,0.14,CL,1681099051
523,gari,59.4307,62.3497,-0.43,50,84,6.59,RU,1681099299
524,uyemskiy,64.4743,40.8524,1.03,69,100,1.0,RU,1681099299
525,santiago de cao,-7.9589,-79.2392,27.07,83,75,5.14,PE,1681099300
526,pervomayskiy,53.2485,40.2871,6.06,61,26,1.97,RU,1681099300
527,la primavera,5.4906,-70.4092,26.61,69,83,1.85,CO,1681099301
528,rincon,32.296,-81.2354,15.48,71,75,3.6,US,1681099301
529,kushima,31.4583,131.2333,19.38,52,24,3.17,JP,1681099302
530,krasnyy yar,46.5331,48.3456,8.96,44,53,2.72,RU,1681099302
531,harper,4.375,-7.7169,26.09,86,98,2.41,LR,1681099302
532,iquitos,-3.7481,-73.2472,24.02,88,20,1.54,PE,1681099303
533,dubbo,-32.25,148.6167,19.07,39,75,8.23,AU,1681099303
534,sterling,39.0062,-77.4286,9.55,59,0,1.54,US,1681099236
535,saurimo,-9.6608,20.3916,17.68,95,100,1.31,AO,1681099304
536,pacific grove,36.6177,-121.9166,15.91,68,10,0.45,US,1681099304
537,boyolangu,-8.1181,111.8935,29.16,70,90,3.46,ID,1681099305
538,dukat,62.55,155.55,-10.45,70,23,2.74,RU,1681099306
539,copiapo,-27.3667,-70.3333,15.83,62,0,0.17,CL,1681099307
540,namatanai,-3.6667,152.4333,27.51,77,100,5.21,PG,1681099251
541,nancha,47.1333,129.2667,19.35,30,100,4.66,CN,1681099308
